gsm_sample_id,run_accession,experiment_accession,sample_accession,biosample,replicate_token,replicate_order,raw_tissue,sex,age_weeks,condition_detail,experiment_title,library_layout,local_fastq_complete,match_key
GSM1463785,SRR1534633,SRX668114,SRS672603,SAMN02950216,73,73,Muscle,M,20.0,NORMAL,GSM1463785: RRBS_73_Mouse_Muscle_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|normal
GSM1463786,SRR1534634,SRX668115,SRS672604,SAMN02950217,74,74,Muscle,M,20.0,NORMAL,GSM1463786: RRBS_74_Mouse_Muscle_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|normal
GSM1463787,SRR1534635,SRX668116,SRS672605,SAMN02950218,76,76,Muscle,M,3.0,NORMAL,GSM1463787: RRBS_76_Mouse_Muscle_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|3w|normal
GSM1463788,SRR1534636,SRX668117,SRS672607,SAMN02950219,77,77,Muscle,M,3.0,NORMAL,GSM1463788: RRBS_77_Mouse_Muscle_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|3w|normal
GSM1463789,SRR1534637,SRX668118,SRS672606,SAMN02950220,78,78,Muscle,M,3.0,NORMAL,GSM1463789: RRBS_78_Mouse_Muscle_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|3w|normal
GSM1463790,SRR1534638,SRX668119,SRS672609,SAMN02950221,79,79,Muscle,M,3.0,NORMAL,GSM1463790: RRBS_79_Mouse_Muscle_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|3w|normal
GSM1463791,SRR1534639,SRX668120,SRS672608,SAMN02950222,80,80,Muscle,M,3.0,NORMAL,GSM1463791: RRBS_80_Mouse_Muscle_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|3w|normal
GSM1463792,SRR1534640,SRX668121,SRS672610,SAMN02950223,141,141,Muscle,M,20.0,young_castrated,GSM1463792: RRBS_141_Mouse_Muscle_M_20w_young_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_castrated
GSM1463793,SRR1534641,SRX668122,SRS672611,SAMN02950224,142,142,Muscle,M,20.0,young_castrated,GSM1463793: RRBS_142_Mouse_Muscle_M_20w_young_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_castrated
GSM1463794,SRR1534642,SRX668123,SRS672612,SAMN02950225,143,143,Muscle,M,20.0,young_castrated,GSM1463794: RRBS_143_Mouse_Muscle_M_20w_young_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_castrated
GSM1463795,SRR1534643,SRX668124,SRS672613,SAMN02950226,144,144,Muscle,M,20.0,young_castrated,GSM1463795: RRBS_144_Mouse_Muscle_M_20w_young_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_castrated
GSM1463796,SRR1534644,SRX668125,SRS672614,SAMN02950227,145,145,Muscle,M,20.0,young_castrated,GSM1463796: RRBS_145_Mouse_Muscle_M_20w_young_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_castrated
GSM1463797,SRR1534645,SRX668126,SRS672615,SAMN02950228,150,150,Muscle,M,20.0,young_control_castrated,GSM1463797: RRBS_150_Mouse_Muscle_M_20w_young_control_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_control_castrated
GSM1463798,SRR1534646,SRX668127,SRS672616,SAMN02950229,151,151,Muscle,M,20.0,young_control_castrated,GSM1463798: RRBS_151_Mouse_Muscle_M_20w_young_control_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_control_castrated
GSM1463799,SRR1534647,SRX668128,SRS672617,SAMN02950230,152,152,Muscle,M,20.0,young_control_castrated,GSM1463799: RRBS_152_Mouse_Muscle_M_20w_young_control_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_control_castrated
GSM1463800,SRR1534648,SRX668129,SRS672618,SAMN02950231,153,153,Muscle,M,20.0,young_control_castrated,GSM1463800: RRBS_153_Mouse_Muscle_M_20w_young_control_castrated; Mus musculus; Bisulfite-Seq,PAIRED,False,muscle|M|20w|young_control_castrated
GSM1463801,SRR1534649,SRX668130,SRS672620,SAMN02950232,86,86,Spleen,F,1.0,NORMAL,GSM1463801: RRBS_86_Mouse_Spleen_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|F|1w|normal
GSM1463802,SRR1534650,SRX668131,SRS672619,SAMN02950233,88,88,Spleen,F,20.0,NORMAL,GSM1463802: RRBS_88_Mouse_Spleen_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|F|20w|normal
GSM1463803,SRR1534651,SRX668132,SRS672621,SAMN02950234,89,89,Spleen,F,20.0,NORMAL,GSM1463803: RRBS_89_Mouse_Spleen_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|F|20w|normal
GSM1463804,SRR1534652,SRX668133,SRS672622,SAMN02950235,90,90,Spleen,F,20.0,NORMAL,GSM1463804: RRBS_90_Mouse_Spleen_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|F|20w|normal
GSM1463805,SRR1534653,SRX668134,SRS672623,SAMN02950236,95,95,Spleen,F,20.0,NORMAL,GSM1463805: RRBS_95_Mouse_Spleen_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|F|20w|normal
GSM1463806,SRR1534654,SRX668135,SRS672624,SAMN02950237,87,87,Spleen,M,1.0,NORMAL,GSM1463806: RRBS_87_Mouse_Spleen_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|M|1w|normal
GSM1463807,SRR1534655,SRX668136,SRS672625,SAMN02950238,91,91,Spleen,M,20.0,NORMAL,GSM1463807: RRBS_91_Mouse_Spleen_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|M|20w|normal
GSM1463809,SRR1534656,SRX668137,SRS672626,SAMN02950239,92,92,Spleen,M,20.0,NORMAL,GSM1463809: RRBS_92_Mouse_Spleen_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|M|20w|normal
GSM1463811,SRR1534657,SRX668138,SRS672627,SAMN02950240,93,93,Spleen,M,20.0,NORMAL,GSM1463811: RRBS_93_Mouse_Spleen_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|M|20w|normal
GSM1463813,SRR1534658,SRX668139,SRS672628,SAMN02950241,94,94,Spleen,M,20.0,NORMAL,GSM1463813: RRBS_94_Mouse_Spleen_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,spleen|M|20w|normal
GSM1463815,SRR1534659,SRX668140,SRS672630,SAMN02950242,10,10,Cerebellum,F,20.0,NORMAL,GSM1463815: RRBS_10_Mouse_Cerebellum_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|F|20w|normal
GSM1463817,SRR1534660,SRX668141,SRS672629,SAMN02950243,11,11,Cerebellum,F,20.0,NORMAL,GSM1463817: RRBS_11_Mouse_Cerebellum_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|F|20w|normal
GSM1463818,SRR1534661,SRX668142,SRS672631,SAMN02950244,8,8,Cerebellum,F,20.0,NORMAL,GSM1463818: RRBS_8_Mouse_Cerebellum_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|F|20w|normal
GSM1463819,SRR1534662,SRX668143,SRS672632,SAMN02950190,9,9,Cerebellum,F,20.0,NORMAL,GSM1463819: RRBS_9_Mouse_Cerebellum_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|F|20w|normal
GSM1463820,SRR1534663,SRX668144,SRS672633,SAMN02950191,4,4,Cerebellum,M,1.0,NORMAL,GSM1463820: RRBS_4_Mouse_Cerebellum_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|M|1w|normal
GSM1463821,SRR1534664,SRX668145,SRS672634,SAMN02950192,5,5,Cerebellum,M,1.0,NORMAL,GSM1463821: RRBS_5_Mouse_Cerebellum_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|M|1w|normal
GSM1463822,SRR1534665,SRX668146,SRS672635,SAMN02950193,6,6,Cerebellum,M,20.0,NORMAL,GSM1463822: RRBS_6_Mouse_Cerebellum_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|M|20w|normal
GSM1463823,SRR1534666,SRX668147,SRS672636,SAMN02950194,7,7,Cerebellum,M,20.0,NORMAL,GSM1463823: RRBS_7_Mouse_Cerebellum_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,False,cerebellum|M|20w|normal
