sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family,header_tissue_raw,header_condition_clean,match_key,tile_sample_id,matrix_sample_id_crosswalk,source_column_crosswalk,match_key_crosswalk,gsm_sample_id,run_accession,experiment_accession,sample_accession,biosample,replicate_token,replicate_order,local_fastq_complete,mapping_status,mapping_confidence,raw_group_count,header_group_count,age_weeks_crosswalk,tissue_crosswalk,sex_crosswalk,condition_family_crosswalk,condition_detail_crosswalk,raw_experiment_title,gsm_crosswalk_status
GSE60012_tile_012,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_012_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_012_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control,Liver,old_castration_control,liver|M|28w|old_castration_control,GSE60012_tile_012,GSE60012_tile_012_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,liver|M|28w|old_castration_control,GSM1463729,SRR1534577,SRX668058,SRS672546,SAMN02950282,107,107,True,mapped,exact_group_count_ordered,7,7,28.0,liver,M,old_castration_control,old_castration_control,GSM1463729: RRBS_107_Mouse_Liver_M_28w_old_castration_control; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_013,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_013_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_013_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control,Liver,old_castration_control,liver|M|28w|old_castration_control,GSE60012_tile_013,GSE60012_tile_013_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,liver|M|28w|old_castration_control,GSM1463730,SRR1534578,SRX668059,SRS672548,SAMN02950283,108,108,True,mapped,exact_group_count_ordered,7,7,28.0,liver,M,old_castration_control,old_castration_control,GSM1463730: RRBS_108_Mouse_Liver_M_28w_old_castration_control; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_014,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_014_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_014_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control,Liver,old_castration_control,liver|M|28w|old_castration_control,GSE60012_tile_014,GSE60012_tile_014_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,liver|M|28w|old_castration_control,GSM1463731,SRR1534579,SRX668060,SRS672549,SAMN02950284,109,109,True,mapped,exact_group_count_ordered,7,7,28.0,liver,M,old_castration_control,old_castration_control,GSM1463731: RRBS_109_Mouse_Liver_M_28w_old_castration_control; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_015,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_015_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_015_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control,Liver,old_castration_control,liver|M|28w|old_castration_control,GSE60012_tile_015,GSE60012_tile_015_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,liver|M|28w|old_castration_control,GSM1463732,SRR1534580,SRX668061,SRS672550,SAMN02950285,110,110,True,mapped,exact_group_count_ordered,7,7,28.0,liver,M,old_castration_control,old_castration_control,GSM1463732: RRBS_110_Mouse_Liver_M_28w_old_castration_control; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_016,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_016_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_016_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control,Liver,old_castration_control,liver|M|28w|old_castration_control,GSE60012_tile_016,GSE60012_tile_016_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,liver|M|28w|old_castration_control,GSM1463733,SRR1534581,SRX668062,SRS672551,SAMN02950286,111,111,True,mapped,exact_group_count_ordered,7,7,28.0,liver,M,old_castration_control,old_castration_control,GSM1463733: RRBS_111_Mouse_Liver_M_28w_old_castration_control; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_017,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_017_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_017_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration,Liver,old_castration,liver|M|28w|old_castration,GSE60012_tile_017,GSE60012_tile_017_Liver_M_28w_old_castration,Liver_M_28w_old_castration,liver|M|28w|old_castration,GSM1463724,SRR1534572,SRX668053,SRS672541,SAMN02950277,96,96,True,mapped,exact_group_count_ordered,8,8,28.0,liver,M,old_castration,old_castration,GSM1463724: RRBS_96_Mouse_Liver_M_28w_old_castration; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_018,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_018_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_018_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration,Liver,old_castration,liver|M|28w|old_castration,GSE60012_tile_018,GSE60012_tile_018_Liver_M_28w_old_castration,Liver_M_28w_old_castration,liver|M|28w|old_castration,GSM1463725,SRR1534573,SRX668054,SRS672542,SAMN02950278,97,97,True,mapped,exact_group_count_ordered,8,8,28.0,liver,M,old_castration,old_castration,GSM1463725: RRBS_97_Mouse_Liver_M_28w_old_castration; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_019,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_019_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_019_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration,Liver,old_castration,liver|M|28w|old_castration,GSE60012_tile_019,GSE60012_tile_019_Liver_M_28w_old_castration,Liver_M_28w_old_castration,liver|M|28w|old_castration,GSM1463726,SRR1534574,SRX668055,SRS672544,SAMN02950279,98,98,True,mapped,exact_group_count_ordered,8,8,28.0,liver,M,old_castration,old_castration,GSM1463726: RRBS_98_Mouse_Liver_M_28w_old_castration; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_020,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_020_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_020_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration,Liver,old_castration,liver|M|28w|old_castration,GSE60012_tile_020,GSE60012_tile_020_Liver_M_28w_old_castration,Liver_M_28w_old_castration,liver|M|28w|old_castration,GSM1463719,SRR1534567,SRX668048,SRS672537,SAMN02950332,101,101,True,mapped,exact_group_count_ordered,8,8,28.0,liver,M,old_castration,old_castration,GSM1463719: RRBS_101_Mouse_Liver_M_28w_old_castration; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_021,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_021_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_021_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration,Liver,old_castration,liver|M|28w|old_castration,GSE60012_tile_021,GSE60012_tile_021_Liver_M_28w_old_castration,Liver_M_28w_old_castration,liver|M|28w|old_castration,GSM1463720,SRR1534568,SRX668049,SRS672539,SAMN02950333,102,102,True,mapped,exact_group_count_ordered,8,8,28.0,liver,M,old_castration,old_castration,GSM1463720: RRBS_102_Mouse_Liver_M_28w_old_castration; Mus musculus; Bisulfite-Seq,mapped
