task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,cr_detection_auc,cr_cohens_d,exec_time_sec,group_score,lodo_mean_mae_weeks,lodo_worst_mae_weeks,lodo_mean_pearson_r,lodo_min_pearson_r,lodo_cr_auc,old_104w_weighted_mae_weeks,lodo_score,final_score
group::v23_052_wide_deep_top1000_robust_w512_bn64_do0p1_lr0p0003,v23_052_wide_deep_top1000_robust_w512_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_052_wide_deep_top1000_robust_w512_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,1000,robust,512,3,0.1,0.0003,1219,0.6095,24.867,19.386,33.373,0.1791,26.223,0.5187,0.2003,49.4,0.484591,,,,,,,-1.0,0.484591
group::v23_053_wide_deep_top2000_standard_w256_bn64_do0p1_lr0p0003,v23_053_wide_deep_top2000_standard_w256_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_053_wide_deep_top2000_standard_w256_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,2000,standard,256,3,0.1,0.0003,1219,0.5815,23.982,16.796,33.917,0.1521,28.181,0.5904,0.371,70.3,0.484182,,,,,,,-1.0,0.484182
group::v23_049_wide_deep_top1000_standard_w256_bn64_do0p1_lr0p0003,v23_049_wide_deep_top1000_standard_w256_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_049_wide_deep_top1000_standard_w256_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,1000,standard,256,3,0.1,0.0003,1219,0.5831,24.742,17.665,34.479,0.1238,27.229,0.6149,0.4299,65.9,0.479589,,,,,,,-1.0,0.479589
group::v23_050_wide_deep_top1000_standard_w512_bn64_do0p1_lr0p0003,v23_050_wide_deep_top1000_standard_w512_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_050_wide_deep_top1000_standard_w512_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,1000,standard,512,3,0.1,0.0003,1219,0.564,25.429,17.954,34.595,0.1179,27.87,0.6637,0.5816,60.0,0.477562,,,,,,,-1.0,0.477562
group::v23_041_res_mlp_top1000_robust_w192_d3_do0p25_lr0p0003,v23_041_res_mlp_top1000_robust_w192_d3_do0p25_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_041_res_mlp_top1000_robust_w192_d3_do0p25_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.25,0.0003,1219,0.6383,27.961,20.885,39.244,-0.1351,30.334,0.7049,0.6484,67.7,0.474146,,,,,,,-1.0,0.474146
group::v23_019_res_mlp_top5000_robust_w128_d2_do0p1_lr0p0003,v23_019_res_mlp_top5000_robust_w128_d2_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_019_res_mlp_top5000_robust_w128_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,5000,robust,128,2,0.1,0.0003,1219,0.59,26.407,19.985,35.696,0.0608,25.821,0.6313,0.4868,73.0,0.4638,,,,,,,-1.0,0.4638
group::v23_034_res_mlp_top5000_standard_w256_d3_do0p1_lr0p0003,v23_034_res_mlp_top5000_standard_w256_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_034_res_mlp_top5000_standard_w256_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,5000,standard,256,3,0.1,0.0003,1219,0.5437,26.606,20.402,35.185,0.0875,28.369,0.6322,0.509,59.9,0.452973,,,,,,,-1.0,0.452973
group::v23_021_res_mlp_top5000_robust_w192_d2_do0p1_lr0p0003,v23_021_res_mlp_top5000_robust_w192_d2_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_021_res_mlp_top5000_robust_w192_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,5000,robust,192,2,0.1,0.0003,1219,0.5833,27.396,21.242,36.181,0.0352,27.296,0.622,0.4344,47.4,0.449944,,,,,,,-1.0,0.449944
group::v23_058_wide_deep_top5000_standard_w512_bn64_do0p1_lr0p0003,v23_058_wide_deep_top5000_standard_w512_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_058_wide_deep_top5000_standard_w512_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,5000,standard,512,3,0.1,0.0003,1219,0.5388,28.617,20.588,38.855,-0.1128,29.401,0.6068,0.3764,84.2,0.418263,,,,,,,-1.0,0.418263
group::v23_057_wide_deep_top5000_standard_w256_bn64_do0p1_lr0p0003,v23_057_wide_deep_top5000_standard_w256_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_057_wide_deep_top5000_standard_w256_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,5000,standard,256,3,0.1,0.0003,1219,0.4986,29.638,21.765,42.152,-0.3096,32.151,0.6468,0.3791,85.5,0.407247,,,,,,,-1.0,0.407247
