name,status,autodl_manifest_only,exec_time_sec,interpretation_guardrail,local_dl_started,matrix,metadata,n_aligned_samples,n_benchmark_rows,n_interpreted_feature_rows,n_random_label_rows,n_regions,n_selected_feature_rows,n_targets,n_targets_passed,out_dir,target_registry,timestamp
auto_robust2000,skipped_existing,True,142.8,target-associated methylation signal; mechanism not inferred,False,/root/autodl-tmp/mouse_methyl_work/results/multidataset_v8_3_ablation/all6/all_rrbs_region_matrix_5kb.parquet,/root/autodl-tmp/mouse_methyl_work/metadata/model_sample_metadata_v8.csv,1219,6,600,6,65870,114000,7,6,results/v23_cloud_max_batch/biology_sidecars/auto_robust2000,/root/autodl-tmp/mouse_methyl_work/metadata/v22_biological_signal_targets.csv,2026-05-20T21:34:40.431562+00:00
lgbm_age_2000,skipped_existing,True,48.7,target-associated methylation signal; mechanism not inferred,False,/root/autodl-tmp/mouse_methyl_work/results/multidataset_v8_3_ablation/all6/all_rrbs_region_matrix_5kb.parquet,/root/autodl-tmp/mouse_methyl_work/metadata/model_sample_metadata_v8.csv,1219,1,100,1,65870,20000,1,1,results/v23_cloud_max_batch/biology_sidecars/lgbm_age_2000,/root/autodl-tmp/mouse_methyl_work/metadata/v22_biological_signal_targets.csv,2026-05-20T21:35:30.720375+00:00
lgbm_classifiers_2000,skipped_existing,True,224.8,target-associated methylation signal; mechanism not inferred,False,/root/autodl-tmp/mouse_methyl_work/results/multidataset_v8_3_ablation/all6/all_rrbs_region_matrix_5kb.parquet,/root/autodl-tmp/mouse_methyl_work/metadata/model_sample_metadata_v8.csv,1219,5,500,5,65870,94000,5,5,results/v23_cloud_max_batch/biology_sidecars/lgbm_classifiers_2000,/root/autodl-tmp/mouse_methyl_work/metadata/v22_biological_signal_targets.csv,2026-05-20T21:39:17.167341+00:00
rf_classifiers_1000,skipped_existing,True,83.0,target-associated methylation signal; mechanism not inferred,False,/root/autodl-tmp/mouse_methyl_work/results/multidataset_v8_3_ablation/all6/all_rrbs_region_matrix_5kb.parquet,/root/autodl-tmp/mouse_methyl_work/metadata/model_sample_metadata_v8.csv,1219,5,500,5,65870,47000,5,5,results/v23_cloud_max_batch/biology_sidecars/rf_classifiers_1000,/root/autodl-tmp/mouse_methyl_work/metadata/v22_biological_signal_targets.csv,2026-05-20T21:40:41.702200+00:00
