task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,cr_detection_auc,cr_cohens_d,exec_time_sec
random::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,random_label,completed,groupkfold,,True,results/v23_cloud_max_batch/random_label_sanity/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,1219,0.1672,32.546,26.363,41.373,-0.2617,32.793,0.6319,0.4112,32.4
random::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,random_label,completed,groupkfold,,True,results/v23_cloud_max_batch/random_label_sanity/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,1219,0.2451,34.234,27.475,43.719,-0.4088,31.895,0.3739,-0.4249,44.5
