dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots,ena_error,ena_library_layout,fastq_urls,fastq_md5s,fastq_bytes,ena_n_fastq,current_local_fastq_complete,current_local_fastq_count,current_local_fastq_paths,target_fastq_dir,dataset_rank,repair_error_rank,download_strategy,download_allowed,blocked_reason,repair_priority
GSE121141,SRR8032946,GSM3426765,SRS3924363,SRX4865536,GSM3426765: Br2004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,9375516600,31251722,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/006/SRR8032946/SRR8032946_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/006/SRR8032946/SRR8032946_2.fastq.gz,02834c9a05b999b8cb9d5dee9f7f3c8e;6f3c766db960e8dbbe5db8327a64c772,2114604609;2317417420,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,150
GSE121141,SRR8032960,GSM3426775,SRS3924371,SRX4865546,GSM3426775: H0607; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,9371353800,31237846,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032960/SRR8032960_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032960/SRR8032960_2.fastq.gz,f2d26ad94c80be127f81ffe77f25f127;c877e6f36049c6247bd6ea255135b206,2141907175;2445702851,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,151
GSE121141,SRR8032978,GSM3426789,SRS3924383,SRX4865560,GSM3426789: H2010; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,9307500900,31025003,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8032978/SRR8032978_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8032978/SRR8032978_2.fastq.gz,800afc2d0f2542f27e5747fd13539512;aee4b4c167197a8f12531650b34df08e,2028677233;2294369560,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,152
GSE121141,SRR8033009,GSM3426810,SRS3924399,SRX4865581,GSM3426810: L2010; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,9293147100,30977157,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8033009/SRR8033009_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8033009/SRR8033009_2.fastq.gz,6006e846a3bef7812541a28dc6a73ce7;77d413c41f38ee8ae244db6048f7b862,2162785702;2451466543,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,153
GSE121141,SRR8033022,GSM3426820,SRS3924406,SRX4865591,GSM3426820: Lu1203; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8945464500,29818215,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033022/SRR8033022_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033022/SRR8033022_2.fastq.gz,31dee4310fe1b728ae9a707461790148;8aa0f84109aca2572be3619354095a55,2012370081;2309198484,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,154
GSE121141,SRR8032954,GSM3426770,SRS3924368,SRX4865541,GSM3426770: Br3004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8917068300,29723561,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032954/SRR8032954_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032954/SRR8032954_2.fastq.gz,b3506f3a50a0f3b57aa8d59b2ec1955a;e3ee98e97c2864e3923bd1556896ab73,1993447629;2437176731,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,155
GSE121141,SRR8033021,GSM3426819,SRS3924404,SRX4865590,GSM3426819: Lu0610; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8865511800,29551706,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8033021/SRR8033021_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8033021/SRR8033021_2.fastq.gz,f1783c0f1924da1a4d46cc9f644d5b0e;52d945fd875a09790002a288fea56696,1943389025;2187418272,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,156
GSE121141,SRR8032975,GSM3426786,SRS3924379,SRX4865557,GSM3426786: H2004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8848254900,29494183,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/005/SRR8032975/SRR8032975_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/005/SRR8032975/SRR8032975_2.fastq.gz,681700fca916e51f9dec6cddfab7bb8c;cf19e0d9cb7352bfae4deff2adabd69b,1841198008;2246589104,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,157
GSE121141,SRR8032974,GSM3426786,SRS3924379,SRX4865557,GSM3426786: H2004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8751842400,29172808,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032974/SRR8032974_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032974/SRR8032974_2.fastq.gz,bbce67413fe6744443d55efebc0163c9;7748011591d3c4c46c746a3902a810ee,1856683199;2274538340,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,158
GSE121141,SRR8032947,GSM3426765,SRS3924363,SRX4865536,GSM3426765: Br2004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8662410900,28874703,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/007/SRR8032947/SRR8032947_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/007/SRR8032947/SRR8032947_2.fastq.gz,3ac5876f0a4c9eef9ece4c3cfbe098f8;3b1216c82b8fb3258a0707d2189edefd,1945762613;2138949486,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,159
