dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots
GSE121141,SRR8032983,GSM3426793,SRS3924386,SRX4865564,GSM3426793: H3009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2004264900,6680883
GSE121141,SRR8032984,GSM3426793,SRS3924386,SRX4865564,GSM3426793: H3009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1938931200,6463104
GSE121141,SRR8032985,GSM3426794,SRS3924387,SRX4865565,GSM3426794: H3010; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,10333658100,34445527
GSE121141,SRR8032986,GSM3426795,SRS3924388,SRX4865566,GSM3426795: L0603; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,6629756400,22099188
GSE121141,SRR8032987,GSM3426795,SRS3924388,SRX4865566,GSM3426795: L0603; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,5618302500,18727675
GSE121141,SRR8032988,GSM3426796,SRS3924389,SRX4865567,GSM3426796: L0607; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,5190685500,17302285
GSE121141,SRR8032989,GSM3426796,SRS3924389,SRX4865567,GSM3426796: L0607; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4772580600,15908602
GSE121141,SRR8032990,GSM3426797,SRS3924500,SRX4865568,GSM3426797: L0608; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,13497412200,44991374
GSE121141,SRR8032991,GSM3426797,SRS3924500,SRX4865568,GSM3426797: L0608; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,13101677400,43672258
GSE121141,SRR8032992,GSM3426798,SRS3924501,SRX4865569,GSM3426798: L0609; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,12235031100,40783437
GSE121141,SRR8032993,GSM3426799,SRS3924390,SRX4865570,GSM3426799: L0610; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4680584100,15601947
