dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE121141,GSM3426754,SRR8032927;SRR8032928,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_2.fastq,2,4,1,v25_authorized_full_passed_gate,False,False,26.074,brain_cortex,M,control,15.32072
GSE121141,GSM3426755,SRR8032929;SRR8032930,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_2.fastq,2,4,1,v25_authorized_full_passed_gate,False,False,26.074,brain_cortex,M,control,22.657181
GSE121141,GSM3426757,SRR8032932;SRR8032933,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_2.fastq,2,4,1,v25_authorized_full_passed_gate,False,False,26.074,brain_cortex,M,control,41.649886
GSE121141,GSM3426758,SRR8032934,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_2.fastq,1,2,1,v25_authorized_full_passed_gate,False,False,26.074,brain_cortex,M,control,28.384525
GSE121141,GSM3426759,SRR8032935;SRR8032936,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_2.fastq,2,4,1,v25_authorized_full_passed_gate,False,False,52.149,brain_cortex,M,control,29.211685000000003
GSE121141,GSM3426760,SRR8032937;SRR8032938,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_2.fastq,2,4,1,v25_authorized_full_passed_gate,False,False,52.149,brain_cortex,M,control,23.856396
GSE121141,GSM3426761,SRR8032939,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_2.fastq,1,2,1,v25_authorized_full_passed_gate,False,False,52.149,brain_cortex,M,control,14.767929
