dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132773,SRR3440648,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440648_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440648_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,5.006342
GSE80672,GSM2132774,SRR3440649,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440649_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440649_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,5.518624
GSE80672,GSM2132775,SRR3440650,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440650_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440650_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,9.976762
GSE80672,GSM2132776,SRR3440651,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440651_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440651_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,12.484177
GSE80672,GSM2132777,SRR3440652,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440652_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440652_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,5.132295
GSE80672,GSM2132782,SRR3440658,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440658_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440658_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,8.706812
GSE80672,GSM2132783,SRR3440659,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440659_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440659_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,9.635076
GSE80672,GSM2132784,SRR3440660,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440660_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440660_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,7.084393
GSE80672,GSM2132785,SRR3440661,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440661_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440661_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,6.461768
GSE80672,GSM2132786,SRR3440662,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440662_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440662_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,8.61547
