dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132941,SRR3440898;SRR3440899,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440898_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440899_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440898_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440899_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,11.418144000000002
GSE80672,GSM2132943,SRR3440902,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440902_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440902_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,8.723143
GSE80672,GSM2132944,SRR3440904;SRR3440905,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440904_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440905_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440904_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440905_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,11.608693
GSE80672,GSM2132946,SRR3440907;SRR3440908,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440907_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440908_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440907_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440908_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,16.020367
GSE80672,GSM2132947,SRR3440909;SRR3440910,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440909_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440910_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440909_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440910_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,13.465685
GSE80672,GSM2132948,SRR3440911,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440911_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440911_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,8.662729
GSE80672,GSM2132949,SRR3440912;SRR3440913,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440912_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440913_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440912_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440913_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,22.143587
GSE80672,GSM2132950,SRR3440915,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440915_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440915_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,8.505232
GSE80672,GSM2132951,SRR3440916,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440916_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440916_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,10.504017
GSE80672,GSM2132952,SRR3440917;SRR3440918,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440917_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440918_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440917_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440918_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,7.328034
GSE80672,GSM2132953,SRR3440919,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440919_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440919_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,11.801476
GSE80672,GSM2132954,SRR3440920;SRR3440921,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440920_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440921_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440920_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440921_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,14.799121
GSE80672,GSM2132955,SRR3440922;SRR3440923,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440922_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440923_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440922_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440923_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,152.1,blood,M,control,18.088233
GSE80672,GSM2132957,SRR3440926;SRR3440927,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440926_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440927_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440926_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440927_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,152.1,blood,M,control,18.026995
GSE80672,GSM2132958,SRR3440928;SRR3440929,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440928_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440929_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440928_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440929_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,152.1,blood,M,control,9.588274
GSE80672,GSM2132959,SRR3440930;SRR3440931,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440930_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440931_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440930_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440931_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,152.1,blood,M,control,13.679882
GSE80672,GSM2132960,SRR3440932,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440932_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440932_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,152.1,blood,M,control,10.493388
