dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871527,GSM3394209,SINGLE,1,,,single_or_unknown,13777654540,12.831441,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871527.fastq
GSE120137,SRR7871528,GSM3394210,SINGLE,1,,,single_or_unknown,7244973962,6.747408,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871528.fastq
GSE120137,SRR7871529,GSM3394211,SINGLE,1,,,single_or_unknown,11499216310,10.70948,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871529.fastq
GSE120137,SRR7871530,GSM3394212,SINGLE,1,,,single_or_unknown,9247507574,8.612413,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871530.fastq
GSE120137,SRR7871531,GSM3394213,SINGLE,1,,,single_or_unknown,9018503606,8.399136,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871531.fastq
GSE120137,SRR7871532,GSM3394214,SINGLE,1,,,single_or_unknown,8793532622,8.189615,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871532.fastq
GSE120137,SRR7871533,GSM3394215,SINGLE,1,,,single_or_unknown,9008136872,8.389481,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871533.fastq
GSE120137,SRR7871534,GSM3394216,SINGLE,1,,,single_or_unknown,5430456012,5.057506,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871534.fastq
GSE120137,SRR7871535,GSM3394217,SINGLE,1,,,single_or_unknown,8676539100,8.080657,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871535.fastq
GSE120137,SRR7871536,GSM3394218,SINGLE,1,,,single_or_unknown,8619668694,8.027692,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871536.fastq
GSE120137,SRR7871537,GSM3394219,SINGLE,1,,,single_or_unknown,9984243374,9.298551,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871537.fastq
GSE120137,SRR7871538,GSM3394220,SINGLE,1,,,single_or_unknown,13111864848,12.211376,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871538.fastq
GSE120137,SRR7871539,GSM3394221,SINGLE,1,,,single_or_unknown,13191627032,12.28566,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871539.fastq
GSE120137,SRR7871540,GSM3394222,SINGLE,1,,,single_or_unknown,12175951866,11.339739,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871540.fastq
GSE120137,SRR7871541,GSM3394223,SINGLE,1,,,single_or_unknown,11217153858,10.446789,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871541.fastq
GSE120137,SRR7871542,GSM3394224,SINGLE,1,,,single_or_unknown,8578787016,7.989618,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871542.fastq
