dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized
GSE80672,GSM2132724,SRR3440577;SRR3440578,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_2.fastq,2,4,1,v24_balanced_expansion,False,False
GSE80672,GSM2132725,SRR3440579,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132727,SRR3440582,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132730,SRR3440587,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132732,SRR3440590,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132758,SRR3440628,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132759,SRR3440629,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132734,SRR3440593,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132737,SRR3440597,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132739,SRR3440599,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132742,SRR3440604,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_2.fastq,1,2,1,v24_balanced_expansion,False,False
