dataset,run_accession,mate,file_name,local_path,size_bytes,size_gib,mtime_utc,is_gzip,raw_root
GSE80672,SRR3440566,2.0,SRR3440566_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440566_2.fastq,8577102700,7.988049,2026-04-23T22:03:21.978673+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440567,1.0,SRR3440567_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440567_1.fastq,9007870556,8.389233,2026-04-24T00:36:42.878658+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440567,2.0,SRR3440567_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440567_2.fastq,9007870556,8.389233,2026-04-24T00:36:42.820656+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440568,1.0,SRR3440568_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440568_1.fastq,9342823804,8.701183,2026-04-24T02:38:28.120491+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440568,2.0,SRR3440568_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440568_2.fastq,9342823804,8.701183,2026-04-24T02:38:28.121491+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440569,1.0,SRR3440569_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440569_1.fastq,7781216956,7.246823,2026-04-26T10:19:49.414225+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440569,2.0,SRR3440569_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440569_2.fastq,7781216956,7.246823,2026-04-26T10:19:49.636236+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440570,1.0,SRR3440570_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_1.fastq,6952197900,6.474739,2026-05-03T03:06:12.757196+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440570,2.0,SRR3440570_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_2.fastq,6952197900,6.474739,2026-05-03T03:06:12.744195+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440571,1.0,SRR3440571_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440571_1.fastq,8975315852,8.358914,2026-05-03T05:23:29.145195+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440571,2.0,SRR3440571_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440571_2.fastq,8975315852,8.358914,2026-05-03T05:23:30.507267+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440572,1.0,SRR3440572_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440572_1.fastq,7838968948,7.300609,2026-05-03T07:32:03.174219+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440572,2.0,SRR3440572_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440572_2.fastq,7838968948,7.300609,2026-05-03T07:32:03.176219+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440573,1.0,SRR3440573_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440573_1.fastq,6343657724,5.907992,2026-05-03T09:12:47.682815+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440573,2.0,SRR3440573_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440573_2.fastq,6343657724,5.907992,2026-05-03T09:12:47.754818+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440574,1.0,SRR3440574_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440574_1.fastq,6340444060,5.904999,2026-05-03T10:52:31.338429+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440574,2.0,SRR3440574_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440574_2.fastq,6340444060,5.904999,2026-05-03T10:52:31.338429+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440575,1.0,SRR3440575_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440575_1.fastq,7127456964,6.637962,2026-05-03T12:48:42.059318+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440575,2.0,SRR3440575_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440575_2.fastq,7127456964,6.637962,2026-05-03T12:48:42.053318+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440576,1.0,SRR3440576_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440576_1.fastq,8955839220,8.340775,2026-05-08T09:25:34.941620+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440576,2.0,SRR3440576_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440576_2.fastq,8955839220,8.340775,2026-05-08T09:25:34.948620+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440577,1.0,SRR3440577_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_1.fastq,1975595592,1.839917,2026-05-03T14:49:55.332712+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440577,2.0,SRR3440577_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_2.fastq,1975595592,1.839917,2026-05-03T14:49:55.332712+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440578,1.0,SRR3440578_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_1.fastq,2595003812,2.416786,2026-05-03T15:27:03.358707+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440578,2.0,SRR3440578_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_2.fastq,2595003812,2.416786,2026-05-03T15:27:03.353707+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440579,1.0,SRR3440579_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_1.fastq,1650180084,1.53685,2026-05-03T15:48:19.334451+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440579,2.0,SRR3440579_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_2.fastq,1650180084,1.53685,2026-05-03T15:48:19.324450+00:00,False,/data/mouse_methyl/raw
