sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family
GSE60012_tile_001,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_001_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_001_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_012,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_012_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_012_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_013,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_013_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_013_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_014,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_014_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_014_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_015,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_015_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_015_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_016,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_016_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_016_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_017,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_017_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_017_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_018,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_018_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_018_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_019,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_019_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_019_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_020,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_020_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_020_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_021,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_021_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_021_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_022,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_022_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_022_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_023,GSE60012 synthetic Liver_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_023_Liver_M_20w_young_castrated | source_column: Liver_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_023_Liver_M_20w_young_castrated,Liver_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_024,GSE60012 synthetic Muscle_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_024_Muscle_M_20w_young_castrated | source_column: Muscle_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_024_Muscle_M_20w_young_castrated,Muscle_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_025,GSE60012 synthetic Liver_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_025_Liver_M_20w_young_castrated | source_column: Liver_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_025_Liver_M_20w_young_castrated,Liver_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_026,GSE60012 synthetic Muscle_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_026_Muscle_M_20w_young_castrated | source_column: Muscle_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_026_Muscle_M_20w_young_castrated,Muscle_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_027,GSE60012 synthetic Liver_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_027_Liver_M_20w_young_castrated | source_column: Liver_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_027_Liver_M_20w_young_castrated,Liver_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_028,GSE60012 synthetic Muscle_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_028_Muscle_M_20w_young_castrated | source_column: Muscle_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_028_Muscle_M_20w_young_castrated,Muscle_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_029,GSE60012 synthetic Liver_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_029_Liver_M_20w_young_control_castrated | source_column: Liver_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_029_Liver_M_20w_young_control_castrated,Liver_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_030,GSE60012 synthetic Muscle_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_030_Muscle_M_20w_young_control_castrated | source_column: Muscle_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_030_Muscle_M_20w_young_control_castrated,Muscle_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_031,GSE60012 synthetic Liver_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_031_Liver_M_20w_young_control_castrated | source_column: Liver_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_031_Liver_M_20w_young_control_castrated,Liver_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_032,GSE60012 synthetic Muscle_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_032_Muscle_M_20w_young_control_castrated | source_column: Muscle_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_032_Muscle_M_20w_young_control_castrated,Muscle_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_033,GSE60012 synthetic Liver_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_033_Liver_M_20w_young_control_castrated | source_column: Liver_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_033_Liver_M_20w_young_control_castrated,Liver_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_034,GSE60012 synthetic Muscle_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_034_Muscle_M_20w_young_control_castrated | source_column: Muscle_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_034_Muscle_M_20w_young_control_castrated,Muscle_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_035,GSE60012 synthetic Liver_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_035_Liver_M_20w_young_control_castrated | source_column: Liver_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_035_Liver_M_20w_young_control_castrated,Liver_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_036,GSE60012 synthetic Muscle_M_20w_young_control_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_036_Muscle_M_20w_young_control_castrated | source_column: Muscle_M_20w_young_control_castrated | condition_detail: young_control_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_036_Muscle_M_20w_young_control_castrated,Muscle_M_20w_young_control_castrated,young_control_castrated,young_control_castrated
GSE60012_tile_037,GSE60012 synthetic Liver_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_037_Liver_M_20w_young_castrated | source_column: Liver_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_037_Liver_M_20w_young_castrated,Liver_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_038,GSE60012 synthetic Muscle_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_038_Muscle_M_20w_young_castrated | source_column: Muscle_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_038_Muscle_M_20w_young_castrated,Muscle_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_039,GSE60012 synthetic Liver_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_039_Liver_M_20w_young_castrated | source_column: Liver_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_039_Liver_M_20w_young_castrated,Liver_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_040,GSE60012 synthetic Muscle_M_20w_young_castrated,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_040_Muscle_M_20w_young_castrated | source_column: Muscle_M_20w_young_castrated | condition_detail: young_castrated,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_040_Muscle_M_20w_young_castrated,Muscle_M_20w_young_castrated,young_castrated,young_castrated
GSE60012_tile_041,GSE60012 synthetic Liver_M_20w_testosterone_control,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_041_Liver_M_20w_testosterone_control | source_column: Liver_M_20w_testosterone_control | condition_detail: testosterone_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_041_Liver_M_20w_testosterone_control,Liver_M_20w_testosterone_control,testosterone_control,testosterone_control
