sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family
GSE60012_tile_001,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_001_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_001_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_091,GSE60012 synthetic Spleen_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_091_Spleen_M_20w_NORMAL | source_column: Spleen_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_091_Spleen_M_20w_NORMAL,Spleen_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_092,GSE60012 synthetic Spleen_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_092_Spleen_F_20w_NORMAL | source_column: Spleen_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_092_Spleen_F_20w_NORMAL,Spleen_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_093,GSE60012 synthetic Spleen_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_093_Spleen_F_20w_NORMAL | source_column: Spleen_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_093_Spleen_F_20w_NORMAL,Spleen_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_094,GSE60012 synthetic Liver_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_094_Liver_F_20w_NORMAL | source_column: Liver_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_094_Liver_F_20w_NORMAL,Liver_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_095,GSE60012 synthetic Spleen_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_095_Spleen_F_20w_NORMAL | source_column: Spleen_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_095_Spleen_F_20w_NORMAL,Spleen_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_096,GSE60012 synthetic Spleen_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_096_Spleen_F_20w_NORMAL | source_column: Spleen_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_096_Spleen_F_20w_NORMAL,Spleen_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_097,GSE60012 synthetic Liver_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_097_Liver_F_1w_NORMAL | source_column: Liver_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_097_Liver_F_1w_NORMAL,Liver_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_098,GSE60012 synthetic Liver_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_098_Liver_F_1w_NORMAL | source_column: Liver_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_098_Liver_F_1w_NORMAL,Liver_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_099,GSE60012 synthetic Liver_M_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_099_Liver_M_1w_NORMAL | source_column: Liver_M_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_099_Liver_M_1w_NORMAL,Liver_M_1w_NORMAL,NORMAL,normal
GSE60012_tile_100,GSE60012 synthetic Liver_M_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_100_Liver_M_1w_NORMAL | source_column: Liver_M_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_100_Liver_M_1w_NORMAL,Liver_M_1w_NORMAL,NORMAL,normal
GSE60012_tile_101,GSE60012 synthetic Liver_M_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_101_Liver_M_1w_NORMAL | source_column: Liver_M_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_101_Liver_M_1w_NORMAL,Liver_M_1w_NORMAL,NORMAL,normal
GSE60012_tile_102,GSE60012 synthetic Liver_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_102_Liver_F_1w_NORMAL | source_column: Liver_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_102_Liver_F_1w_NORMAL,Liver_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_103,GSE60012 synthetic Liver_M_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_103_Liver_M_1w_NORMAL | source_column: Liver_M_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_103_Liver_M_1w_NORMAL,Liver_M_1w_NORMAL,NORMAL,normal
GSE60012_tile_104,GSE60012 synthetic Liver_M_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_104_Liver_M_1w_NORMAL | source_column: Liver_M_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_104_Liver_M_1w_NORMAL,Liver_M_1w_NORMAL,NORMAL,normal
GSE60012_tile_105,GSE60012 synthetic Liver_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_105_Liver_F_1w_NORMAL | source_column: Liver_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_105_Liver_F_1w_NORMAL,Liver_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_106,GSE60012 synthetic Liver_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_106_Liver_F_1w_NORMAL | source_column: Liver_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_106_Liver_F_1w_NORMAL,Liver_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_107,GSE60012 synthetic Liver_F_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_107_Liver_F_3w_NORMAL | source_column: Liver_F_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_107_Liver_F_3w_NORMAL,Liver_F_3w_NORMAL,NORMAL,normal
GSE60012_tile_108,GSE60012 synthetic Liver_F_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_108_Liver_F_3w_NORMAL | source_column: Liver_F_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_108_Liver_F_3w_NORMAL,Liver_F_3w_NORMAL,NORMAL,normal
GSE60012_tile_109,GSE60012 synthetic Liver_F_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_109_Liver_F_3w_NORMAL | source_column: Liver_F_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_109_Liver_F_3w_NORMAL,Liver_F_3w_NORMAL,NORMAL,normal
GSE60012_tile_110,GSE60012 synthetic Liver_F_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_110_Liver_F_3w_NORMAL | source_column: Liver_F_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_110_Liver_F_3w_NORMAL,Liver_F_3w_NORMAL,NORMAL,normal
GSE60012_tile_111,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_111_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_111_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_112,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_112_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_112_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_113,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_113_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_113_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_114,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_114_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_114_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_115,GSE60012 synthetic Spleen_F_1w_NORMAL,7.0,1.0,1.0,weeks,weeks,matrix_header_synthetic,,spleen,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Spleen,matrix_sample_id: GSE60012_tile_115_Spleen_F_1w_NORMAL | source_column: Spleen_F_1w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_115_Spleen_F_1w_NORMAL,Spleen_F_1w_NORMAL,NORMAL,normal
GSE60012_tile_116,GSE60012 synthetic Liver_M_31w_old_castration_control,217.0,31.0,31.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_116_Liver_M_31w_old_castration_control | source_column: Liver_M_31w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_116_Liver_M_31w_old_castration_control,Liver_M_31w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_117,GSE60012 synthetic Liver_M_31w_old_castration_control,217.0,31.0,31.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_117_Liver_M_31w_old_castration_control | source_column: Liver_M_31w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_117_Liver_M_31w_old_castration_control,Liver_M_31w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_118,GSE60012 synthetic Liver_M_31w_old_castration,217.0,31.0,31.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_118_Liver_M_31w_old_castration | source_column: Liver_M_31w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_118_Liver_M_31w_old_castration,Liver_M_31w_old_castration,old_castration,old_castration
GSE60012_tile_119,GSE60012 synthetic Liver_M_31w_old_castration,217.0,31.0,31.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_119_Liver_M_31w_old_castration | source_column: Liver_M_31w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_119_Liver_M_31w_old_castration,Liver_M_31w_old_castration,old_castration,old_castration
GSE60012_tile_120,GSE60012 synthetic Liver_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_120_Liver_M_20w_NORMAL | source_column: Liver_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_120_Liver_M_20w_NORMAL,Liver_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_121,GSE60012 synthetic Liver_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_121_Liver_M_20w_NORMAL | source_column: Liver_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_121_Liver_M_20w_NORMAL,Liver_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_122,GSE60012 synthetic Liver_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_122_Liver_F_20w_NORMAL | source_column: Liver_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_122_Liver_F_20w_NORMAL,Liver_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_123,GSE60012 synthetic Liver_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_123_Liver_F_20w_NORMAL | source_column: Liver_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_123_Liver_F_20w_NORMAL,Liver_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_124,GSE60012 synthetic Muscle_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_124_Muscle_M_3w_NORMAL | source_column: Muscle_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_124_Muscle_M_3w_NORMAL,Muscle_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_125,GSE60012 synthetic Muscle_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_125_Muscle_M_3w_NORMAL | source_column: Muscle_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_125_Muscle_M_3w_NORMAL,Muscle_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_126,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_126_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_126_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_127,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_127_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_127_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_128,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_128_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_128_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_129,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_129_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_129_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_130,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_130_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_130_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_131,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_131_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_131_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_132,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_132_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_132_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_133,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_133_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_133_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_134,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_134_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_134_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_135,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_135_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_135_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_136,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_136_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_136_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_137,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_137_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_137_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_138,GSE60012 synthetic Muscle_M_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_138_Muscle_M_20w_NORMAL | source_column: Muscle_M_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_138_Muscle_M_20w_NORMAL,Muscle_M_20w_NORMAL,NORMAL,normal
GSE60012_tile_139,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_139_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_139_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
GSE60012_tile_140,GSE60012 synthetic Muscle_F_20w_NORMAL,140.0,20.0,20.0,weeks,weeks,matrix_header_synthetic,,muscle,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Muscle,matrix_sample_id: GSE60012_tile_140_Muscle_F_20w_NORMAL | source_column: Muscle_F_20w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_140_Muscle_F_20w_NORMAL,Muscle_F_20w_NORMAL,NORMAL,normal
