archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE175410,,25358031,10/05/2020 15:37:42,COV,,,,,GSM5333067_zr3463_1_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333067_zr3463_1_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25930285,10/05/2020 15:43:23,COV,,,,,GSM5333068_zr3463_2_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333068_zr3463_2_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25103759,10/05/2020 15:48:49,COV,,,,,GSM5333069_zr3463_3_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333069_zr3463_3_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,24514571,10/05/2020 15:54:36,COV,,,,,GSM5333070_zr3463_4_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333070_zr3463_4_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25448570,10/05/2020 16:00:14,COV,,,,,GSM5333071_zr3463_5_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333071_zr3463_5_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25956032,10/05/2020 16:05:59,COV,,,,,GSM5333072_zr3463_6_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333072_zr3463_6_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,23887887,10/05/2020 16:11:01,COV,,,,,GSM5333073_zr3463_7_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333073_zr3463_7_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25811802,10/05/2020 16:17:07,COV,,,,,GSM5333074_zr3463_8_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333074_zr3463_8_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,20321106,10/05/2020 16:21:54,COV,,,,,GSM5333075_zr3463_9_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333075_zr3463_9_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,21003043,10/09/2020 04:58:59,COV,,,,,GSM5333076_zr3463_10_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333076_zr3463_10_R1_val_1_bismark_bt2_pe.bismark.cov.gz
